slug,label,category_id,lastScrapedDate,airtableId,created,updated,synced
amazon-delivery,Amazon Delivery,driving,,recYMFT7Avf05u9hK,2023-02-16 15:33:56,,
amazon-delivery-driver,Amazon Delivery Driver,driving,2022-12-09 01:00:00,recBUfytLHD0sIKIO,2023-02-16 15:33:55,,
amazon-dsp,Amazon Dsp,community-and-social-service,,recrjbk1ar5i614Ra,2023-02-16 15:33:56,,
amazon-warehouse,Amazon Warehouse,loading-and-stocking,,recq7MaG27bLydT4z,2023-02-16 15:33:56,,
aml-analyst,Aml Analyst,banking-and-finance,,recQUanxQoDHkT2pc,2023-02-16 15:33:56,,
analyst,Analyst,mathematics,,rec7BQ7UFx5OBuK7f,2023-02-16 15:33:55,,
android-developer,Android Developer,software-development,,rec9grPZjtVZWvW0K,2023-02-24 10:28:27,2023-02-24 10:28:28,
anesthesia-technician,Anesthesia Technician,medical-technician,,rec2ALnUxd69B4vG9,2023-02-16 15:33:55,,
anesthesiologist,Anesthesiologist,physicians-and-surgeons,,rec5Y0CGzTvrwUeQf,2023-02-16 15:33:55,,
angular-developer,Angular Developer,software-development,,rec6inwjcHrbjHfWI,2023-02-24 10:28:27,2023-02-24 10:28:28,
animal,Animal,arts-and-entertainment,,recOYWrs3Fc0ylPD6,2023-02-16 15:33:56,,
animal-care,Animal Care,veterinary,,rec12MDT6nSBiswOE,2023-02-16 15:33:55,,
animal-hospital,Animal Hospital,arts-and-entertainment,,recLcSkRJhxR7Lhro,2023-02-16 15:33:55,,
animal-science,Animal Science,arts-and-entertainment,,recgIf3Radt5JITGI,2023-02-16 15:33:56,,
animal-shelter,Animal Shelter,arts-and-entertainment,,recYuQhn1o95YWJAS,2023-02-16 15:33:56,,
animal-welfare,Animal Welfare,arts-and-entertainment,,reci4nCeLYHjoxZSr,2023-02-16 15:33:56,,
animals,Animals,arts-and-entertainment,,rec84vIGfHS23xuJc,2023-02-16 15:33:55,,
animation,Animation,arts-and-entertainment,,recFte1EfOZuCNn6E,2023-02-16 15:33:55,,
animator,Animator,arts-and-entertainment,2022-12-09 01:00:00,rec3t46lfR0vfDNIK,2023-02-16 15:33:55,,
anime,Anime,arts-and-entertainment,,recwpX5VyHrvaWzia,2023-02-16 15:33:56,,
answering-service,Answering Service,administrative-assistance,,rec9zlG5R0I3QtBRU,2023-02-16 15:33:55,,
apartment-leasing-consultant,Apartment Leasing Consultant,real-estate,,recy1d9q00A9tg5ts,2023-02-16 15:33:57,,
apartment-maintenance,Apartment Maintenance,installation-and-maintenance,,recVxr6fL9P5YaaLs,2023-02-16 15:33:56,,
apartment-maintenance-supervisor,Apartment Maintenance Supervisor,installation-and-maintenance,,rechoCoPuTMQrSRVD,2023-02-16 15:33:56,,
apartment-manager,Apartment Manager,real-estate,,recUIT622bD3mliaO,2023-02-16 15:33:56,,
apparel,Apparel,retail,,recdx1tXQmg9ba2ki,2023-02-16 15:33:56,,
apple-home-advisor,Apple Home Advisor,sales,,rec6j2onnMkQsIVhs,2023-02-16 15:33:55,,
appliance-repair,Appliance Repair,installation-and-maintenance,,recdrtLNuKBSyyvBk,2023-02-16 15:33:56,,
application-support,Application Support,software-development,,recVkFrdDEqGY6s70,2023-02-16 15:33:56,,
appointment-scheduler,Appointment Scheduler,administrative-assistance,,rec0g6oHOmmAbiUFL,2023-02-16 15:33:55,,
appointment-setter,Appointment Setter,sales,,recVbzHAYtcHcuLp2,2023-02-16 15:33:56,,
appraiser,Appraiser,administrative-assistance,,recNBpxreEy8nCGLp,2023-02-16 15:33:56,,
apprentice-electrician,Apprentice Electrician,installation-and-maintenance,,rec26mw2wABlqfP6V,2023-02-16 15:33:55,,
apprentice-lineman,Apprentice Lineman,installation-and-maintenance,,recQnUBuHjI5rFvje,2023-02-16 15:33:56,,
aprn,Aprn,nursing,,recTVKjEUapf9sAEk,2023-02-16 15:33:56,,
arborist,Arborist,agriculture-and-forestry,,recWXFmscPhiwGSdY,2023-02-16 15:33:56,,
architect,Architect,architecture,,recqNYzaE9BYPzpSM,2023-02-16 15:33:56,,
architectural-designer,Architectural Designer,architecture,,recfLFIhOrYE571KO,2023-02-16 15:33:56,,
archivist,Archivist,social-science,,recjIIGnWqJm7IoIn,2023-02-16 15:33:56,,
area-manager,Area Manager,management,,rechVknlwfrPRXeOp,2023-02-16 15:33:56,,
armed-guard,Armed Guard,security-and-public-safety,,recIzdUfMRnrPjhOP,2023-02-16 15:33:55,,
armed-security,Armed Security,security-and-public-safety,,recdWvMm2xI1yECCY,2023-02-16 15:33:56,,
armed-security-guard,Armed Security Guard,security-and-public-safety,,recUZHLyp02pt2Vtf,2023-02-16 15:33:56,,
armed-security-officer,Armed Security Officer,security-and-public-safety,2022-12-08 01:00:00,recl0vtx0ZcbAKgW7,2023-02-16 15:33:56,,
art-director,Art Director,marketing,,recldbPTuZ1VR9f3G,2023-02-16 15:33:56,,
art-teacher,Art Teacher,education-and-instruction,,rec9Hy9yBywwpby1u,2023-02-16 15:33:55,,
artist,Artist,arts-and-entertainment,,reczY3t8navFBfWcC,2023-02-16 15:33:57,,
assembler,Assembler,production-and-manufacturing,,recRzNw5WoUnNm3Jt,2023-02-16 15:33:56,,
assembler-manufacturing,Assembler Manufacturing,production-and-manufacturing,,recxbAWR9erKqmiPQ,2023-02-16 15:33:57,,
assembly,Assembly,production-and-manufacturing,,rec55BbwcnvorplhH,2023-02-16 15:33:55,,
assembly-line,Assembly Line,production-and-manufacturing,,recSRO9zQsooxpfTo,2023-02-16 15:33:56,,
assembly-production,Assembly Production,production-and-manufacturing,2022-12-07 01:00:00,rec20rN8FDdW1003u,2023-02-16 15:33:55,,
asset-management,Asset Management,banking-and-finance,,recNwFeVpztKGdJDR,2023-02-16 15:33:56,,
asset-protection,Asset Protection,retail,,recJ2IExLHk1Nz5j1,2023-02-16 15:33:55,,
asset-protection-manager,Asset Protection Manager,retail,,recrjKRAKxbHsbW5F,2023-02-16 15:33:56,,
assistant-controller,Assistant Controller,accounting,,receFSuRLillA7MQi,2023-02-16 15:33:56,,
assistant-director,Assistant Director,management,2022-12-07 01:00:00,rec0xXTgaStZ9KezG,2023-02-16 15:33:55,,
assistant-general-manager,Assistant General Manager,management,,recPSsjd3kIByjXyb,2023-02-16 15:33:56,,
assistant-principal,Assistant Principal,education-and-instruction,,recpYiQ1lmtMx532R,2023-02-16 15:33:56,,
assistant-project-manager,Assistant Project Manager,project-management,,recDhebraKXxkzjOm,2023-02-16 15:33:55,,
assistant-property-manager,Assistant Property Manager,real-estate,,recAj2WZLdThMqRX9,2023-02-16 15:33:55,,
assistant-store-manager,Assistant Store Manager,retail,,rec7bk5bJz5n552GR,2023-02-16 15:33:55,,
assistant-superintendent,Assistant Superintendent,management,,recnqos2x6HVQeQFh,2023-02-16 15:33:56,,
assistant-teacher,Assistant Teacher,education-and-instruction,2022-12-09 01:00:00,recgPYkvJRQeNPNeA,2023-02-16 15:33:56,,
assisted-living,Assisted Living,personal-care-and-home-health,2022-12-10 01:00:00,reczBz9x8ltY6Glil,2023-02-16 15:33:57,,
assisted-living-administrator,Assisted Living Administrator,personal-care-and-home-health,,rec5F4nUJwkQZjz9h,2023-02-16 15:33:55,,
associate-attorney,Associate Attorney,legal,,recbpZxHdB5kNum0v,2023-02-16 15:33:56,,
associate-product-manager,Associate Product Manager,software-development,,recdQik7CVAL60UB4,2023-02-16 15:33:56,,
associate-project-manager,Associate Project Manager,project-management,,recYLUE0hPTwFCfk3,2023-02-16 15:33:56,,
athletic-director,Athletic Director,community-and-social-service,,reciT660ZLAgqbUIe,2023-02-16 15:33:56,,
athletic-trainer,Athletic Trainer,sports,,recOPeK1TOylprgC9,2023-02-16 15:33:56,,
attorney,Attorney,legal,,reczQHzzJGaL65QO6,2023-02-16 15:33:57,,
audio-engineer,Audio Engineer,electrical-engineering,,recCUYHFnDQ7JhKf4,2023-02-24 10:28:27,2023-02-24 10:28:28,
audio-visual,Audio Visual,media-and-communications,,recwCRmTi85gxBEql,2023-02-16 15:33:56,,
audio-visual-technician,Audio Visual Technician,installation-and-maintenance,,recAAz3W0EhcyVrp2,2023-02-16 15:33:55,,
audiologist,Audiologist,physicians-and-surgeons,,rec4QAuONCS0LNG7z,2023-02-16 15:33:55,,
audit,Audit,accounting,2022-12-09 01:00:00,recHKRsRHoo3NQmu8,2023-02-16 15:33:55,,
auditor,Auditor,accounting,,reclANu9EGXZgLvQM,2023-02-16 15:33:56,,
authorization-specialist,Authorization Specialist,medical-information,,recqNkb5bBBAtARYk,2023-02-16 15:33:56,,
auto-body,Auto Body,installation-and-maintenance,2022-12-07 01:00:00,rec4y1JaAWZEvjBmZ,2023-02-16 15:33:55,,
auto-body-technician,Auto Body Technician,installation-and-maintenance,,recF1gR3mXcHZVdry,2023-02-16 15:33:55,,
auto-detailer,Auto Detailer,installation-and-maintenance,,recQKCEsmwN996tnK,2023-02-16 15:33:56,,
auto-mechanic,Auto Mechanic,installation-and-maintenance,,recrOBXiZuqA96PIx,2023-02-16 15:33:56,,
auto-painter,Auto Painter,construction,,rec16PhE1WrTXfGqc,2023-02-16 15:33:55,,
auto-parts-delivery-driver,Auto Parts Delivery Driver,driving,,recs3JMS7FxWp55ni,2023-02-16 15:33:56,,
auto-sales,Auto Sales,sales,,recCTVjK1ye8FFOL8,2023-02-16 15:33:55,,
auto-sales-manager,Auto Sales Manager,sales,,rec8YB8HkXC0ut9Sp,2023-02-16 15:33:55,,
auto-technician,Auto Technician,installation-and-maintenance,,rect0Tcrjs3WOSGyg,2023-02-16 15:33:56,,
autocad-drafter,AutoCAD Drafter,architecture,,rec3HF4PUaiwYwDPl,2023-02-16 15:33:55,,
automation-engineer,Automation Engineer,software-development,,recxXwWPpIBsCGICD,2023-02-24 10:28:28,2023-02-24 10:28:28,
automation-technician,Automation Technician,mechanical-engineering,,rec9PSKTzQvP49wso,2023-02-16 15:33:55,,
automotive-finance-manager,Automotive Finance Manager,accounting,2022-12-07 01:00:00,rec80aj3TAbWXu5mG,2023-02-16 15:33:55,,
automotive-general-manager,Automotive General Manager,management,,reckpIFw8gUVVBZeY,2023-02-16 15:33:56,,
automotive-management,Automotive Management,management,,reciT9AIKUOstSsFM,2023-02-16 15:33:56,,
automotive-manager,Automotive Manager,installation-and-maintenance,2022-12-07 01:00:00,recHKfVtkcdhwzFcI,2023-02-16 15:33:55,,
automotive-mechanic,Automotive Mechanic,installation-and-maintenance,,recKSCHct24UVyRY0,2023-02-16 15:33:55,,
automotive-painter,Automotive Painter,construction,,rec8WK86QLYIDCc1D,2023-02-16 15:33:55,,
automotive-sales,Automotive Sales,sales,,recaLXSwgMExfzJO3,2023-02-16 15:33:56,,
automotive-sales-manager,Automotive Sales Manager,sales,,recA4IBfIM3bretAl,2023-02-16 15:33:55,,
automotive-service-advisor,Automotive Service Advisor,sales,2022-12-09 01:00:00,recxzeLIQrgCLzFYF,2023-02-16 15:33:57,,
automotive-service-manager,Automotive Service Manager,installation-and-maintenance,,recBIO5J28g1Ym9GU,2023-02-16 15:33:55,,
automotive-technician,Automotive Technician,installation-and-maintenance,,recaGRXbTqksJ4kyl,2023-02-16 15:33:56,,
aws-cloud-engineer,Aws Cloud Engineer,software-development,,recHU9APsa6JyOpOB,2023-02-24 10:28:27,2023-02-24 10:28:28,
aws-devops-engineer,Aws Devops Engineer,software-development,,recmjStVsc71iUCTQ,2023-02-24 10:28:28,2023-02-24 10:28:28,
aws-solution-architect,Aws Solution Architect,software-development,,recVPiL18e0UtdkDB,2023-02-16 15:33:56,,
b2b-sales,B2b Sales,sales,,rec8MFNUYfsuamrY5,2023-02-16 15:33:55,,
babysitter,Babysitter,childcare,,rec8Zq2RI7HX3dMcK,2023-02-16 15:33:55,,
