code,label,labelNative,airtableId,created,updated,synced
my ,Burmese,ဗမာစာ,recwbAkrbCRzUuTPa,2023-02-16 15:33:33,,
na ,Nauru,Ekakairũ Naoero,rec4Y2iVyHtZvkmhu,2023-02-16 15:33:33,,
nb ,Norwegian Bokmål,Norsk bokmål,recRFTBQcynipT32S,2023-02-16 15:33:33,,
nd ,North Ndebele,isiNdebele,rec66GpjQ7ACBPlFt,2023-02-16 15:33:33,,
ne ,Nepali,नेपाली,recTK1uvU04Uu0NqC,2023-02-16 15:33:33,,
ng ,Ndonga,Owambo,recLhM5ILo74yywNp,2023-02-16 15:33:33,,
nl ,Dutch,"Nederlands, Vlaams ",recfaZgm2LZ1uQu1f,2023-02-16 15:33:33,,
nn ,Norwegian Nynorsk,Norsk nynorsk,recZTe6yOlf9Pre6E,2023-02-16 15:33:33,,
no ,Norwegian,Norsk,recCJokulGWQJOwHg,2023-02-16 15:33:33,,
nr ,South Ndebele,isiNdebele,rec0VZAezsOhgaL7c,2023-02-16 15:33:33,,
nv ,"Navajo, Navaho","Diné bizaad, Dinékʼehǰí ",rec0ck2Sm4X8HaF3B,2023-02-16 15:33:33,,
ny ,Chichewa; Chewa; Nyanja,"chiCheŵa, chinyanja ",rec8BTtFmgULvPUwS,2023-02-16 15:33:33,,
oc ,Occitan,"occitan, lenga d'òc ",recXTCx2K0ALZKSPx,2023-02-16 15:33:33,,
oj ,"Ojibwe, Ojibwa",ᐊᓂᔑᓈᐯᒧᐎᓐ,recMdBABlaOBykUjt,2023-02-16 15:33:33,,
om ,Oromo,Afaan Oromoo,recoZrLEmVpy1mCWF,2023-02-16 15:33:33,,
or ,Oriya,ଓଡ଼ିଆ,recS3sFgfRhBHWJnW,2023-02-16 15:33:33,,
os ,"Ossetian, Ossetic",ирон æвзаг,recXwMujWm8T7EHBq,2023-02-16 15:33:33,,
pa ,"Panjabi, Punjabi","ਪੰਜਾਬੀ, پنجابی‎ ",rec68EMFyYAIRWOkK,2023-02-16 15:33:33,,
pi ,Pāli,पाऴि,recDH4mk94qTVfYLs,2023-02-16 15:33:33,,
pl ,Polish,"język polski, polszczyzna ",rec6TUY6iw2PW4fR8,2023-02-16 15:33:33,,
ps ,"Pashto, Pushto",پښتو,recS6T1kVoBMBoPiC,2023-02-16 15:33:33,,
pt ,Portuguese,português,rechl8aVrAr3BY08u,2023-02-24 10:28:26,2023-02-24 10:28:26,
qu ,Quechua,"Runa Simi, Kichwa ",recZTolKitgxe7XQV,2023-02-16 15:33:33,,
rm ,Romansh,rumantsch grischun,recwIfKqXnxO7i7Ro,2023-02-16 15:33:33,,
rn ,Kirundi,Ikirundi,rec21hIzZp0rNuJO4,2023-02-16 15:33:33,,
ro ,Romanian,limba română,recFcBy60h1EhVZ0b,2023-02-24 10:28:26,2023-02-24 10:28:26,
ru ,Russian,русский язык,recMfhmcdxdv9Zhl8,2023-02-24 10:28:26,2023-02-24 10:28:26,
rw ,Kinyarwanda,Ikinyarwanda,recvnskMZoPCZlQRt,2023-02-16 15:33:33,,
sa ,Sanskrit (Saṁskṛta),संस्कृतम्,recU7Ep5tYNxmaZUM,2023-02-16 15:33:33,,
sc ,Sardinian,sardu,recag34gsfvkXpxk0,2023-02-16 15:33:33,,
sd ,Sindhi,"सिन्धी, سنڌي، سندھی‎ ",recq1nI3jJmIzL15M,2023-02-16 15:33:33,,
se ,Northern Sami,Davvisámegiella,recIlSO7dJ4bDCAV3,2023-02-16 15:33:33,,
